infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0002,6.6032,space,6.5743,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,6.6036,108.441,space,101.8133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,108.4581,111.4905,space,3.0125,,111.497,0.9,112.3902,112.3904,127.0076,left,1,14.6007,,127.0185,128.0076,0,0,0,2,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,128.0089,1.1,129.1075,129.1075,130.2411,right,0,1.1189,,130.2412,131.2409,0,1,1,1,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,131.242,1.2,132.4411,132.4412,133.691,left,0,1.2401,,133.691,134.691,0,2,2,4,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,134.6916,0.7,135.3902,135.3903,136.5578,left,1,1.1538,,136.5579,137.5577,0,3,3,3,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,137.5676,0.9,138.4578,138.4579,139.541,right,1,1.0809,,139.541,140.5411,0,4,4,6,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,140.5416,0.9,141.4411,141.4413,142.1081,right,1,0.6553,,142.1082,143.1081,0,5,5,7,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,143.1087,1.4,144.5082,144.5082,145.3078,right,1,0.79,,145.3079,146.3081,0,6,6,5,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,146.3087,1.1,147.4081,147.4083,148.1752,right,0,0.7533,,148.1753,149.1748,0,7,7,0,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,149.1754,0.6,149.775,149.775,150.4751,right,1,0.6885,,150.4752,151.4749,1,0,8,7,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,151.4756,1.3,152.7749,152.7749,153.308,right,1,0.5257,,153.308,154.3084,1,1,9,6,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,154.309,0.6,154.9083,154.9084,155.542,left,0,0.6214,,155.5421,156.5417,1,2,10,5,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,156.5422,0.9,157.4416,157.4416,157.892,right,0,0.4389,,157.892,158.8919,1,3,11,2,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,158.8924,0.9,159.7919,159.792,160.492,right,0,0.6871,,160.4921,161.492,1,4,12,0,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,161.4925,0.9,162.3919,162.392,163.2748,left,0,0.8707,,163.2748,164.2753,1,5,13,4,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,164.2759,1.4,165.6754,165.6755,166.5257,left,1,0.8393,,166.5257,167.5255,1,6,14,3,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,167.5261,1.3,168.8253,168.8254,169.359,right,0,0.5201,,169.3591,170.3583,1,7,15,1,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,170.3586,1.4,171.759,171.7592,172.3923,right,0,0.6198,,172.3923,173.3923,2,0,16,1,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,173.3929,1.3,174.6925,174.6925,175.1427,left,1,0.4369,,175.1429,176.1427,2,1,17,2,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,176.1434,0.8,176.9425,176.9426,177.6429,right,1,0.6872,,177.643,178.6424,2,2,18,5,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,178.6431,1.2,179.8427,179.8427,183.0263,left,1,3.1711,,183.0264,184.026,2,3,19,0,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,184.0366,1.4,185.4254,185.4255,188.1096,left,0,2.6729,,188.1097,189.1095,2,4,20,6,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,189.1199,1.1,190.2096,190.2097,190.5099,right,1,0.2867,,190.5099,191.5098,2,5,21,4,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,191.5103,0.8,192.3097,192.3098,193.5594,right,1,1.2388,,193.5596,194.5597,2,6,22,7,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,194.5605,1,195.5599,195.56,196.3595,left,1,0.7869,,196.3596,197.3599,2,7,23,3,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,197.3606,1.4,198.7599,198.76,202.3934,right,0,3.6209,,202.3935,203.3935,3,0,24,1,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,203.404,1.1,204.4934,204.4935,205.1436,right,0,0.6377,,205.1436,206.1436,3,1,25,0,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,206.1442,1,207.1434,207.1435,207.8436,left,0,0.6878,,207.8437,208.8436,3,2,26,7,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,208.8442,1.2,210.0436,210.0437,213.5938,right,1,3.5375,,213.5938,214.5939,3,3,27,5,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,214.6045,1.4,215.9939,215.994,216.8442,left,1,0.837,,216.8442,217.8439,3,4,28,2,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,217.8446,0.9,218.7433,218.7433,219.4107,left,1,0.6553,,219.4108,220.4106,3,5,29,3,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,220.4114,0.7,221.1107,221.1107,223.111,right,1,1.9878,,223.111,224.1109,3,6,30,4,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,224.1226,1,225.1109,225.1109,226.911,right,1,1.7869,,226.911,227.911,3,7,31,6,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,227.9218,1.5,229.4103,229.4104,230.3612,right,1,0.9385,,230.3612,231.3612,4,0,32,6,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,231.3617,1,232.3611,232.3612,233.011,left,1,0.648,,233.011,234.0112,4,1,33,2,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,234.0119,1.2,235.2112,235.2112,236.0282,right,1,0.8031,,236.0283,237.0282,4,2,34,7,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,237.0289,1.3,238.328,238.3281,239.1948,left,1,0.8563,,239.1948,240.1948,4,3,35,3,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,240.1955,0.6,240.7948,240.7948,241.8614,left,1,1.0532,,241.8615,242.8615,4,4,36,1,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,242.8621,1.1,243.9615,243.9616,245.095,right,1,1.1211,,245.095,246.0949,4,5,37,5,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,246.0956,0.6,246.6951,246.6951,247.2784,right,1,0.57,,247.2784,248.2784,4,6,38,4,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,248.2791,0.8,249.0785,249.0785,249.6787,left,1,0.5877,,249.6788,250.6786,4,7,39,0,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,250.6792,0.7,251.3787,251.3787,252.0618,right,1,0.6709,,252.0619,253.0612,5,0,40,4,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,253.0619,1.4,254.4619,254.462,254.9446,left,1,0.4711,,254.9446,255.9447,5,1,41,3,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,255.9453,0.9,256.8444,256.8444,257.4123,left,1,0.557,,257.4123,258.4122,5,2,42,2,1,total,1,images/Ex10.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,258.413,1.2,259.6123,259.6123,260.0626,right,1,0.4372,,260.0627,261.062,5,3,43,5,1,total,1,images/Ex11.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,261.0627,1.2,262.2622,262.2622,262.9124,left,1,0.6403,,262.9124,263.9124,5,4,44,1,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,263.9129,0.6,264.5113,264.5113,264.9949,left,1,0.4723,,264.9949,265.9959,5,5,45,0,1,total,1,images/Ex9.jpg,left,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,265.9966,1,266.9958,266.9958,268.1957,right,1,1.1978,,268.1958,269.1957,5,6,46,7,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,269.1963,0.8,269.9958,269.9958,270.4125,right,1,0.4097,,270.4126,271.4127,5,7,47,6,1,total,1,images/Ex12.jpg,right,training,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,271.4176,1.4,272.8121,272.8121,273.2116,left,0,0.3908,,273.2117,274.2126,0,0,0,3,1,total,2,images/Ex10.jpg,right,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,274.2131,0.9,275.1128,275.1128,275.9628,left,0,0.8382,,275.9628,276.9624,0,1,1,2,1,total,2,images/Ex10.jpg,right,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,276.9633,1.5,278.463,278.4631,279.296,left,0,0.8211,,279.296,280.2962,0,2,2,1,1,total,2,images/Ex9.jpg,right,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,280.2968,0.6,280.8962,280.8963,281.8956,right,0,0.9874,,281.8956,282.8963,0,3,3,4,1,total,2,images/Ex11.jpg,left,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,282.897,0.6,283.4964,283.4965,284.3799,right,1,0.8714,,284.3799,285.3797,0,4,4,0,1,total,2,images/Ex9.jpg,right,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,285.3804,0.6,285.9798,285.9798,286.6957,left,1,0.7047,,286.6957,287.6966,0,5,5,7,1,total,2,images/Ex12.jpg,left,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,287.6973,1.4,289.0966,289.0966,289.8134,left,1,0.7042,,289.8135,290.813,0,6,6,6,1,total,2,images/Ex12.jpg,left,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,290.8135,1.2,292.0134,292.0134,292.9132,left,1,0.8954,,292.9132,293.9134,0,7,7,5,1,total,2,images/Ex11.jpg,left,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,293.9139,1.4,295.3124,295.3125,296.6302,left,0,1.3091,,296.6302,297.6302,1,0,8,1,1,total,2,images/Ex9.jpg,right,reversed,easy,6,,,,,
,,,,,63614851eba9f853fc9ffb45,001,23,male,United Kingdom,College,2024-02-26_18h17.09.385,CRL1e,2023.2.3,MacIntel,61.72839506,65dbad3905fde4fe1981dc61,65dcd568e2fb1f27d251b62b,,,,,,,,,,,297.6415,0.9,298.5294,298.5294,299.2794,right,1,0.7371,,299.2795,300.2802,1,1,9,3,1,total,2,images/Ex10.jpg,right,reversed,easy,6,,,,,
