infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,Highest Educational Degree?,date,expName,psychopyVersion,OS,frameRate,STUDY_ID,SESSION_ID,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,condition,difficulty,set,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,21.5016,space,21.4695,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,21.502,51.0777,space,29.5493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,51.1003,54.075,space,2.9523,,54.0857,0.9,54.9754,54.9757,56.4079,left,0,1.4129,,56.4081,57.4125,0,0,0,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,57.4136,1.1,58.5081,58.5081,59.4912,right,1,0.9802,,59.4914,60.4914,0,1,1,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,60.4923,1.3,61.791,61.791,62.6912,right,0,0.8915,,62.6912,63.6913,0,2,2,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,63.692,0.9,64.5908,64.5909,66.0751,left,0,1.4785,,66.0752,67.0741,0,3,3,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,67.0748,1,68.074,68.0741,69.3651,left,0,1.2889,,69.3651,70.3648,0,4,4,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,70.3653,0.5,70.8644,70.8645,71.9816,right,1,1.1155,,71.9818,72.9741,0,5,5,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,72.9746,0.6,73.5739,73.5741,75.8914,right,0,2.3091,,75.8915,76.8905,0,6,6,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,76.8912,1.4,78.2909,78.2909,79.5741,left,1,1.279,,79.5743,80.5745,0,7,7,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,80.5753,0.9,81.474,81.474,82.5245,left,1,1.039,,82.5246,83.5237,0,8,8,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,83.5244,1.1,84.6237,84.6238,85.4578,right,0,0.8326,,85.4579,86.4571,0,9,9,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,86.4577,1.3,87.7569,87.757,88.7903,right,1,1.0265,,88.7903,89.7901,0,10,10,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,89.7907,0.9,90.6906,90.6906,91.8576,left,1,1.157,,91.8576,92.8567,0,11,11,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,92.8574,0.6,93.4571,93.4571,94.2146,left,1,0.7561,,94.2146,95.2071,0,12,12,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,95.2078,1,96.2136,96.2137,97.0247,right,1,0.8057,,97.0247,98.0234,0,13,13,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,98.0241,1.1,99.1235,99.1236,100.0235,left,1,0.8935,,100.0235,101.0234,0,14,14,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,101.024,0.9,101.9236,101.9236,103.4901,right,1,1.5569,,103.4901,104.4902,0,15,15,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,104.4907,0.7,105.1902,105.1902,106.1399,left,0,0.9411,,106.14,107.1396,1,0,16,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,107.1402,1.5,108.6401,108.6401,110.5065,right,1,1.861,,110.5066,111.5062,1,1,17,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,111.521,0.8,112.3235,112.3236,113.3569,left,1,1.0212,,113.3569,114.3567,1,2,18,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,114.3572,1.3,115.6562,115.6562,117.2063,right,0,1.5438,,117.2063,118.1965,1,3,19,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,118.1971,1.3,119.4899,119.49,121.0803,right,1,1.5889,,121.0805,122.073,1,4,20,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,122.0737,1.4,123.4726,123.4727,124.1562,left,1,0.6721,,124.1562,125.1564,1,5,21,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,125.1569,1.2,126.3558,126.3558,127.2107,right,1,0.8531,,127.2107,128.2057,1,6,22,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,128.2063,1.4,129.6061,129.6062,130.3228,right,0,0.7151,,130.3229,131.3235,1,7,23,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,131.3242,1,132.3228,132.3229,133.0063,left,0,0.674,,133.0063,134.0056,1,8,24,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,134.0062,0.6,134.606,134.606,135.1641,right,0,0.5567,,135.1642,136.1623,1,9,25,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,136.163,1.1,137.2555,137.2555,137.8723,right,1,0.6061,,137.8723,138.8722,1,10,26,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,138.873,1.1,139.9622,139.9622,140.656,right,0,0.6836,,140.656,141.6554,1,11,27,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,141.656,1,142.6461,142.6462,143.0296,right,1,0.3819,,143.0297,144.0227,1,12,28,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,144.0233,1.1,145.1218,145.1219,145.9561,left,1,0.8311,,145.9562,146.9552,1,13,29,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,146.9559,1.4,148.3552,148.3554,149.239,right,0,0.8806,,149.2391,150.2389,1,14,30,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,150.2395,1.1,151.3384,151.3385,152.0891,right,1,0.7427,,152.0891,153.0888,1,15,31,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,153.0895,1.3,154.3888,154.3889,155.2053,right,0,0.81,,155.2054,156.205,2,0,32,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,156.2057,1.2,157.405,157.4052,158.1718,right,1,0.7545,,158.1718,159.1715,2,1,33,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,159.1722,1.3,160.4715,160.4715,161.905,right,1,1.4219,,161.9051,162.9048,2,2,34,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,162.9054,0.5,163.4047,163.4048,164.3884,left,1,0.971,,164.3885,165.388,2,3,35,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,165.3886,1,166.388,166.388,168.1393,left,0,1.7383,,168.1394,169.1383,2,4,36,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,169.139,0.6,169.7384,169.7385,171.1718,left,1,1.4292,,171.1719,172.1715,2,5,37,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,172.1723,1,173.1716,173.1717,174.5049,left,1,1.3218,,174.505,175.5044,2,6,38,1,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,175.5191,1,176.5216,176.5217,177.8389,right,1,1.3087,,177.8389,178.8377,2,7,39,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,178.8382,0.7,179.5376,179.5377,181.7044,right,0,2.1552,,181.7045,182.7042,2,8,40,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,182.7047,1,183.7042,183.7044,184.3879,left,1,0.6717,,184.3879,185.3876,2,9,41,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,185.3882,0.7,186.0879,186.0879,186.8719,right,0,0.7823,,186.8719,187.8712,2,10,42,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,187.8719,0.9,188.7712,188.7712,189.238,left,0,0.4544,,189.2381,190.2374,2,11,43,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,190.2381,1.2,191.4376,191.4376,192.2044,right,1,0.7632,,192.2045,193.194,2,12,44,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,193.1945,0.9,194.0877,194.0877,195.0381,left,0,0.9399,,195.0382,196.0281,2,13,45,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,196.0285,1.2,197.2205,197.2206,197.8043,right,0,0.5803,,197.8044,198.7938,2,14,46,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,198.7944,1.1,199.888,199.888,200.8546,left,0,0.9552,,200.8547,201.8539,2,15,47,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,201.8546,0.8,202.6538,202.6538,204.3206,right,1,1.658,,204.3207,205.3204,3,0,48,12,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,205.321,1.1,206.4206,206.4207,207.1279,right,0,0.7056,,207.1279,208.1208,3,1,49,0,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,208.1214,0.8,208.9202,208.9203,209.7205,left,0,0.7946,,209.7206,210.7209,3,2,50,15,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,210.7214,0.8,211.5206,211.5207,213.087,right,0,1.5566,,213.0871,214.0775,3,3,51,9,1,total,1,images/Ex10.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,214.0782,1.5,215.5752,215.5752,216.2736,left,0,0.6841,,216.2737,217.27,3,4,52,6,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,217.2706,1.2,218.47,218.47,219.154,left,0,0.6737,,219.1541,220.1535,3,5,53,4,1,total,1,images/Ex13.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,220.1542,0.5,220.6534,220.6535,221.7447,right,1,1.0894,,221.7448,222.7365,3,6,54,7,1,total,1,images/Ex16.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,222.737,0.6,223.3264,223.3265,224.1274,left,1,0.7992,,224.1275,225.1277,3,7,55,8,1,total,1,images/Ex9.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,225.1282,1.3,226.427,226.427,227.4034,right,0,0.9699,,227.4034,228.403,3,8,56,3,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,228.4036,0.6,228.9935,228.9936,229.9607,right,1,0.9651,,229.9608,230.953,3,9,57,5,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,230.9537,1.5,232.453,232.453,233.2773,right,1,0.8229,,233.2773,234.2699,3,10,58,13,1,total,1,images/Ex14.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,234.2704,1.4,235.6596,235.6596,237.2606,left,0,1.5992,,237.2607,238.2538,3,11,59,14,1,total,1,images/Ex15.jpg,right,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,238.2542,0.9,239.1533,239.1533,240.0196,left,1,0.8625,,240.0196,241.0098,3,12,60,2,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,241.0104,1.3,242.3093,242.3093,242.9527,left,1,0.6356,,242.9528,243.9598,3,13,61,10,1,total,1,images/Ex11.jpg,left,training,hard,3,,,,,
,,,,,6128affc7322ddbb3e16dcb3,001,26,FEMALE,Scottish,Scottish Highers ,2024-03-06_14h28.33.606,CRL1h,2023.2.3,Win32,60.24096386,65e67470ae2fbf2172c317b2,65e87d724ed22479407e1c6b,,,,,,,,,,,243.9604,0.7,244.6524,244.6524,246.904,left,1,2.2399,,246.904,247.9029,3,14,62,11,1,total,1,images/Ex12.jpg,left,training,hard,3,,,,,
