infCons.started,infCons.stopped,resp_consent.keys,resp_consent.rt,resp_consent.duration,participant,session,Age?,Gender?,Nationality?,date,expName,psychopyVersion,OS,frameRate,instructions.started,instructions.stopped,resp_instructions.keys,resp_instructions.rt,resp_instructions.duration,nextTask.started,nextTask.stopped,ready_task.keys,ready_task.rt,ready_task.duration,fixation.started,ITI,fixation.stopped,stim.started,stim.stopped,response.keys,response.corr,response.rt,response.duration,feedback.started,feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,task,phase,Exemplars,r_correct,end.started,end.stopped,resp_end.keys,resp_end.rt,resp_end.duration
0.0003,2.0886,space,2.0656,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,2.0889,27.7569,space,25.6449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,27.7617,32.2246,space,4.4416,,32.2291,1.2,33.4246,33.4247,35.1573,right,1,1.726,,35.1576,36.1582,0,0,0,5,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,36.1588,1.1,37.2577,37.2578,38.5418,right,0,1.2715,,38.542,39.5411,0,1,1,2,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,39.5416,1.4,40.9445,40.9445,41.9256,left,1,0.9748,,41.9256,42.9253,0,2,2,11,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,42.9256,1,43.9252,43.9253,45.2585,right,0,1.3299,,45.2585,46.2581,0,3,3,8,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,46.2584,1.4,47.6577,47.6578,49.0263,right,0,1.356,,49.0263,50.0251,0,4,4,3,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,50.0254,1.3,51.3253,51.3254,52.5932,left,0,1.2593,,52.5932,53.592,0,5,5,6,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,53.5923,1.1,54.6924,54.6924,56.0601,right,0,1.3638,,56.0602,57.0603,0,6,6,10,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,57.0605,1.3,58.3603,58.3604,59.5432,left,0,1.1787,,59.5433,60.5438,0,7,7,4,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,60.544,1.4,61.9425,61.9425,66.2427,right,0,4.2956,,66.2427,67.2432,0,8,8,1,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,67.2552,1.1,68.3439,68.344,69.7281,left,0,1.3722,,69.7282,70.7274,0,9,9,15,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,70.7427,1.3,72.0436,72.0436,73.8108,left,1,1.7604,,73.8108,74.8111,0,10,10,9,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,74.8266,0.9,75.7278,75.7279,76.9118,right,1,1.1783,,76.9118,77.9115,0,11,11,14,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,77.9119,0.7,78.6109,78.6109,79.7953,left,0,1.1747,,79.7954,80.7955,0,12,12,13,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,80.808,0.9,81.7103,81.7104,83.0291,left,1,1.3156,,83.0292,84.0283,0,13,13,0,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,84.0288,1.3,85.3289,85.3291,86.6628,right,1,1.3304,,86.6629,87.6619,0,14,14,12,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,87.6626,0.9,88.5625,88.5625,89.4292,left,0,0.8638,,89.4293,90.428,0,15,15,7,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,90.4288,1.3,91.7282,91.7283,92.8643,right,0,1.1326,,92.8643,93.8624,1,0,16,8,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,93.863,1.3,95.1624,95.1624,96.2953,right,0,1.1241,,96.2953,97.2953,1,1,17,1,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,97.296,1,98.296,98.2961,99.5963,right,1,1.2968,,99.5964,100.5962,1,2,18,7,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,100.5968,0.9,101.4963,101.4963,102.3302,left,1,0.8284,,102.3302,103.3295,1,3,19,10,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,103.3299,1.5,104.8302,104.8303,105.8133,left,0,0.9783,,105.8134,106.8126,1,4,20,4,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,106.8132,1.3,108.1133,108.1133,109.5637,right,0,1.4447,,109.5637,110.5635,1,5,21,2,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,110.5641,1.2,111.7635,111.7636,113.3465,right,0,1.577,,113.3465,114.3472,1,6,22,11,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,114.3477,0.6,114.9475,114.9475,116.7808,right,1,1.8268,,116.7809,117.7809,1,7,23,5,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,117.7813,0.8,118.5803,118.5804,119.7473,left,0,1.1611,,119.7474,120.7475,1,8,24,12,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,120.7626,1.1,121.8642,121.8643,122.9309,left,1,1.0555,,122.9309,123.931,1,9,25,3,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,123.9314,1.2,125.1304,125.1304,127.2647,left,0,2.1331,,127.2647,128.2647,1,10,26,13,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,128.2652,0.5,128.7641,128.7641,130.0827,right,1,1.3145,,130.0827,131.0815,1,11,27,14,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,131.082,0.8,131.8815,131.8815,132.8143,right,1,0.9246,,132.8144,133.8144,1,12,28,6,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,133.8146,1,134.8138,134.8138,135.7819,right,1,0.962,,135.7819,136.7817,1,13,29,15,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,136.7821,1.5,138.2819,138.2819,139.7317,left,1,1.4473,,139.7318,140.7321,1,14,30,9,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,140.7326,1.1,141.8322,141.8323,142.7149,right,0,0.8707,,142.7149,143.7154,1,15,31,0,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,143.7159,1.2,144.9146,144.9146,146.1329,right,0,1.2099,,146.1329,147.132,2,0,32,2,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,147.1323,1.4,148.5317,148.5317,149.55,right,1,1.0122,,149.5501,150.5483,2,1,33,13,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,150.5488,0.9,151.4488,151.4488,152.4187,left,1,0.9674,,152.4187,153.4153,2,2,34,3,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,153.4157,1.2,154.6157,154.6158,156.1155,right,0,1.4894,,156.1155,157.1164,2,3,35,0,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,157.1277,0.9,158.0159,158.016,159.784,right,0,1.7575,,159.7841,160.7829,2,4,36,8,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,160.7944,1.2,161.9842,161.9842,162.8339,left,0,0.8439,,162.8339,163.8335,2,5,37,5,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,163.8339,1.2,165.0326,165.0327,166.5998,left,0,1.5619,,166.5999,167.5996,2,6,38,14,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,167.5999,1,168.6008,168.6008,170.0669,right,1,1.4607,,170.067,171.0674,2,7,39,15,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,171.0792,0.7,171.767,171.767,174.0515,right,1,2.2782,,174.0516,175.05,2,8,40,6,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,175.0607,1.4,176.4506,176.4506,178.2849,left,0,1.8221,,178.2849,179.2852,2,9,41,4,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,179.2973,1.3,180.6016,180.6017,182.0017,right,0,1.3936,,182.0017,183.0015,2,10,42,9,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,183.0123,0.9,183.9014,183.9015,185.502,left,0,1.5977,,185.502,186.5019,2,11,43,12,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,186.5022,0.9,187.4016,187.4017,189.1195,left,0,1.7077,,189.1196,190.1196,2,12,44,7,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,190.12,1,191.1192,191.1192,195.1353,right,0,4.0118,,195.1353,196.1355,2,13,45,1,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,196.1479,1.3,197.4364,197.4364,198.6857,left,1,1.239,,198.6857,199.6857,2,14,46,10,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,199.686,1,200.6868,200.687,203.5859,left,1,2.8878,,203.5859,204.5869,2,15,47,11,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,204.5983,1,205.587,205.587,206.3708,right,0,0.7726,,206.3709,207.3691,3,0,48,1,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,207.3696,1.2,208.5706,208.5707,209.8547,left,0,1.2743,,209.8547,210.8535,3,1,49,13,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,210.8645,0.8,211.6531,211.6532,213.0702,left,0,1.4109,,213.0702,214.0704,3,2,50,12,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,214.0707,0.9,214.9707,214.9707,217.7876,right,0,2.8039,,217.7876,218.7877,3,3,51,10,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,218.7884,0.8,219.5877,219.5877,221.4702,left,0,1.8727,,221.4703,222.4711,3,4,52,15,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,222.4715,0.9,223.3711,223.3711,224.4207,right,0,1.0441,,224.4207,225.4213,3,5,53,9,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,225.4216,0.8,226.2213,226.2213,227.4382,right,1,1.2134,,227.4383,228.4382,3,6,54,14,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,228.4386,0.8,229.2383,229.2383,230.0221,right,1,0.7821,,230.0221,231.0219,3,7,55,6,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,231.0225,1.2,232.2205,232.2205,233.3731,right,0,1.1503,,233.3731,234.3721,3,8,56,2,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,234.3727,1.1,235.4719,235.4719,237.6388,right,0,2.1615,,237.6388,238.6379,3,9,57,11,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,238.6386,1.1,239.7389,239.739,240.8383,right,1,1.0879,,240.8384,241.8388,3,10,58,7,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,241.8393,0.6,242.4397,242.4398,243.2384,right,1,0.7939,,243.2385,244.2393,3,11,59,5,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,244.2398,0.8,245.0392,245.0392,246.0743,right,0,1.0324,,246.0743,247.0728,3,12,60,0,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,247.0731,0.7,247.7717,247.7718,249.1901,left,1,1.4132,,249.1901,250.1896,3,13,61,8,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,250.1901,0.5,250.6897,250.6897,252.0567,right,0,1.3631,,252.0568,253.0567,3,14,62,3,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,253.0677,1.2,254.2738,254.2738,256.4402,right,1,2.1599,,256.4403,257.4396,3,15,63,4,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,257.451,1,258.4403,258.4404,259.1922,right,1,0.7482,,259.1922,260.1903,4,0,64,4,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,260.1906,1,261.1903,261.1903,262.575,left,1,1.3751,,262.575,263.5733,4,1,65,2,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,263.5739,1,264.5741,264.5741,265.3907,left,1,0.8061,,265.3908,266.3913,4,2,66,10,1,partial,1,images/Ex11.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,266.3916,0.5,266.8908,266.8909,267.9737,right,1,1.0802,,267.9737,268.9743,4,3,67,7,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,268.975,1.3,270.2753,270.2753,270.9907,right,1,0.7101,,270.9907,271.9902,4,4,68,15,1,partial,1,images/Ex16.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,271.9908,1,272.9916,272.9917,275.6743,right,0,2.6804,,275.6744,276.6751,4,5,69,0,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,276.6758,1.4,278.0742,278.0742,280.0247,right,0,1.947,,280.0247,281.0253,4,6,70,11,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,281.0403,0.9,281.9421,281.9422,282.7749,left,1,0.8238,,282.7751,283.7744,4,7,71,8,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,283.7747,0.6,284.3755,284.3755,286.459,left,1,2.0778,,286.459,287.4584,4,8,72,9,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,287.4698,1.4,288.8578,288.8578,289.6273,left,1,0.7649,,289.6273,290.6247,4,9,73,1,1,partial,1,images/Ex10.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,290.6253,0.6,291.2247,291.2247,293.5592,left,1,2.3267,,293.5593,294.5583,4,10,74,3,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,294.5587,0.9,295.4583,295.4584,296.6431,left,0,1.1738,,296.6431,297.6427,4,11,75,14,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,297.6432,1.4,299.0429,299.0429,300.7087,left,0,1.6556,,300.7088,301.709,4,12,76,13,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,301.7093,0.8,302.5105,302.5105,304.5592,right,1,2.045,,304.5593,305.56,4,13,77,12,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,305.571,1.3,306.8592,306.8592,308.1607,right,1,1.2908,,308.1607,309.1593,4,14,78,5,1,partial,1,images/Ex14.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,309.1598,1.4,310.5602,310.5602,311.8768,left,0,1.3041,,311.8769,312.8763,4,15,79,6,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,312.8865,0.7,313.5773,313.5774,314.8445,right,0,1.2612,,314.8446,315.844,5,0,80,8,1,partial,1,images/Ex9.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,315.8444,1,316.8447,316.8448,317.9616,right,0,1.1066,,317.9616,318.96,5,1,81,3,1,partial,1,images/Ex12.jpg,left,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,318.9704,1.3,320.26,320.26,324.1447,right,1,3.8826,,324.1447,325.145,5,2,82,6,1,partial,1,images/Ex15.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,325.1567,0.7,325.8449,325.8449,326.8944,right,1,1.0462,,326.8944,327.8951,5,3,83,4,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,327.8956,0.8,328.6954,328.6955,329.3451,right,1,0.6476,,329.3451,330.3454,5,4,84,12,1,partial,1,images/Ex13.jpg,right,,,,,
,,,,,847649,001,26,Male,Caucasian,2024-02-21_22h44.30.145,CategoryRev1_within,2023.2.3,MacIntel,59.88023952,,,,,,,,,,,330.3459,1.3,331.6454,331.6454,332.7288,left,1,1.0808,,332.7289,333.7288,5,5,85,0,1,partial,1,images/Ex9.jpg,left,,,,,
